in:Top Thickness [in],in:Spacing [in],in:Water Temp [F],in: Solar Flux [BTU/sf],out:Slab Flux,out:Convect Flux,out:Rad Flux,out:Cold Temp,out:Deg Condensing,out:Deg Cond No Sun,img
3,24,55,100,40.775657,-7.587419,48.363076,73.37066,18.40266,7.084404,NCGMtherm3455100_View2.png
4,24,55,100,40.295637,-7.686096,47.981733,73.263848,18.295848,8.466984,NCGMtherm4455100_View2.png
2,4,56,100,102.045623,1.738958,100.306665,67.580618,12.612618,3.490452,NCGMtherm2056100_View2.png
3,4,56,100,95.910361,0.888906,95.021455,67.765658,12.797658,4.529412,NCGMtherm3056100_View2.png
4,4,56,100,90.350143,0.146327,90.203816,67.993862,13.025862,5.28615,NCGMtherm4056100_View2.png
2,8,56,100,85.263923,-2.00965,87.273573,72.154076,17.186076,4.553424,NCGMtherm2156100_View2.png
3,8,56,100,81.3436,-2.597261,83.940862,72.023702,17.055702,5.881572,NCGMtherm3156100_View2.png
4,8,56,100,77.17195,-3.132798,80.304749,71.79233,16.82433,6.716376,NCGMtherm4156100_View2.png
2,12,56,100,69.183981,-4.105483,73.289464,72.86117,17.89317,5.152122,NCGMtherm2256100_View2.png
3,12,56,100,67.502912,-4.375129,71.878041,72.682088,17.714088,6.734322,NCGMtherm3256100_View2.png
4,12,56,100,64.778682,-4.750461,69.529143,72.567914,17.599914,7.739748,NCGMtherm4256100_View2.png
2,16,56,100,56.39045,-5.257927,61.648377,73.267646,18.299646,5.409612,NCGMtherm2356100_View2.png
3,16,56,100,56.119914,-5.762402,61.882316,73.083326,18.115326,7.206246,NCGMtherm3356100_View2.png
4,16,56,100,54.525528,-6.026397,60.551925,72.955724,17.987724,8.389998,NCGMtherm4356100_View2.png
2,24,56,100,39.557678,-7.665939,47.223617,73.55606,18.58806,5.70618,NCGMtherm2456100_View2.png
3,24,56,100,40.248354,-7.653565,47.901919,73.412906,18.444906,7.672392,NCGMtherm3456100_View2.png
4,24,56,100,39.763828,-7.751786,47.515614,73.30694,18.33894,8.973558,NCGMtherm4456100_View2.png
2,4,57,100,100.813709,1.427856,99.385853,68.000396,13.032396,4.34034,NCGMtherm2057100_View2.png
3,4,57,100,94.71609,0.586087,94.130002,68.152388,13.184388,5.315346,NCGMtherm3057100_View2.png
4,4,57,100,89.193461,-0.147549,89.34101,68.348984,13.380984,6.025194,NCGMtherm4057100_View2.png
2,8,57,100,84.209141,-2.153363,86.362504,72.216014,17.248014,5.336964,NCGMtherm2157100_View2.png
3,8,57,100,80.311316,-2.736252,83.047568,72.095054,17.127054,6.582888,NCGMtherm3157100_View2.png
4,8,57,100,76.169719,-3.291031,79.46075,72.004388,17.036388,7.365762,NCGMtherm4157100_View2.png
2,12,57,100,68.310382,-4.219734,72.530116,72.912542,17.944542,5.897844,NCGMtherm2257100_View2.png
3,12,57,100,66.632629,-4.487499,71.120128,72.735332,17.767332,7.381764,NCGMtherm3257100_View2.png
4,12,57,100,63.925915,-4.859214,68.785129,72.622202,17.654202,8.324496,NCGMtherm4257100_View2.png
