in:Orientation (deg),in:Sill (ft),in:Overhang (ft),in:Roof Angle (deg),in:Ceiling (ft),out:EUI (kBTU/ft2),out:Hrs of Glare,out:Daylit Flr Area (%),out:peakCool(BTU/hr),out: Peak Heat (BTU/hr),img
10,3,4,5,12.5,37.7148,2.690412,99.999996,4823.38153,2333.39988,"orientation,10_sill,3_overhang,4_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,3,4,5,12.5,37.106304,2.750684,99.999982,4653.47897,2333.39994,"orientation,20_sill,3_overhang,4_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,0,6,5,12.5,41.501132,2.071233,100.000004,5555.93874,2625.28088,"orientation,0_sill,0_overhang,6_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,0,6,5,12.5,41.238413,2.282192,99.999996,5498.88206,2625.22515,"orientation,10_sill,0_overhang,6_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,0,6,5,12.5,40.497577,2.263013,99.333316,5290.29181,2625.22522,"orientation,20_sill,0_overhang,6_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,3,6,5,12.5,34.922081,2.071233,100.000004,4037.99005,2323.96259,"orientation,0_sill,3_overhang,6_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,3,6,5,12.5,34.59675,2.282192,99.999996,3986.45495,2323.93459,"orientation,10_sill,3_overhang,6_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,3,6,5,12.5,33.94933,2.263013,99.999982,3833.76554,2323.93465,"orientation,20_sill,3_overhang,6_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,0,8,5,12.5,38.563452,1.841096,100.000004,4750.45029,2616.58399,"orientation,0_sill,0_overhang,8_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,0,8,5,12.5,37.445076,2.024658,99.999996,4502.91348,2616.56281,"orientation,10_sill,0_overhang,8_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,3,8,5,12.5,32.26578,2.002739,99.999982,3307.14604,2317.12714,"orientation,20_sill,0_overhang,8_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,3,8,5,12.5,31.911082,1.841096,100.000004,3258.07691,2317.1089,"orientation,0_sill,3_overhang,8_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,3,8,5,12.5,31.340503,2.024658,99.999996,3140.28355,2317.10897,"orientation,10_sill,3_overhang,8_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,0,10,5,12.5,36.005459,2.002739,99.999982,4038.64925,2610.19275,"orientation,20_sill,3_overhang,8_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,0,10,5,12.5,35.571068,1.684932,100.000004,3968.86179,2610.27521,"orientation,0_sill,0_overhang,10_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,0,10,5,12.5,34.864406,1.723288,99.999996,3816.5192,2610.27528,"orientation,10_sill,0_overhang,10_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,3,10,5,12.5,30.05086,1.613698,99.999982,2704.24986,2311.88217,"orientation,20_sill,0_overhang,10_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,3,10,5,12.5,29.754992,1.684932,96.66667,2670.47109,2311.94282,"orientation,0_sill,3_overhang,10_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
20,3,10,5,12.5,29.39911,1.723288,97.999996,2610.7457,2311.94289,"orientation,10_sill,3_overhang,10_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
0,0,0,10,12.5,50.993658,1.613698,99.333316,8338.53637,2717.41896,"orientation,20_sill,3_overhang,10_roofAngle,5_ceilingHeight,12.5__CaptureView.png"
10,0,0,10,12.5,51.408725,3.084932,84.000004,8329.81691,2717.41896,"orientation,0_sill,0_overhang,0_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,0,0,10,12.5,51.301286,3.446576,82.666664,8146.94783,2717.41903,"orientation,10_sill,0_overhang,0_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,3,0,10,12.5,44.124636,3.624657,77.333317,6766.94921,2411.51497,"orientation,20_sill,0_overhang,0_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,3,0,10,12.5,44.381279,3.090411,90.000004,6763.3179,2411.51496,"orientation,0_sill,3_overhang,0_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,3,0,10,12.5,44.217126,3.454795,83.333331,6628.31628,2411.51502,"orientation,10_sill,3_overhang,0_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,0,2,10,12.5,46.822602,3.632876,79.333317,7320.58428,2699.09371,"orientation,20_sill,3_overhang,0_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,0,2,10,12.5,46.939114,2.668493,90.66667,7286.02806,2698.7322,"orientation,0_sill,0_overhang,2_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,0,2,10,12.5,46.519399,2.969864,90.666663,7075.25989,2698.73226,"orientation,10_sill,0_overhang,2_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,3,2,10,12.5,40.041105,3.08767,84.66665,5732.37185,2393.5695,"orientation,20_sill,0_overhang,2_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,3,2,10,12.5,40.000584,2.668493,100.000004,5699.46728,2393.30192,"orientation,0_sill,3_overhang,2_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,3,2,10,12.5,39.546959,2.969864,99.999996,5535.52177,2393.30198,"orientation,10_sill,3_overhang,2_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,0,4,10,12.5,42.827337,3.08767,91.999983,6265.99667,2682.99221,"orientation,20_sill,3_overhang,2_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,0,4,10,12.5,42.74723,2.358904,100.000004,6226.56328,2682.8954,"orientation,0_sill,0_overhang,4_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,0,4,10,12.5,42.115145,2.616439,99.333329,6015.03622,2682.89547,"orientation,10_sill,0_overhang,4_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,3,4,10,12.5,36.252374,2.534246,91.333316,4689.02762,2378.84113,"orientation,20_sill,0_overhang,4_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,3,4,10,12.5,36.036989,2.358904,100.000004,4645.9193,2378.70037,"orientation,0_sill,3_overhang,4_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,3,4,10,12.5,35.472767,2.616439,99.999996,4491.14923,2378.70043,"orientation,10_sill,3_overhang,4_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,0,6,10,12.5,39.260375,2.534246,99.999982,5255.87321,2670.37882,"orientation,20_sill,3_overhang,4_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,0,6,10,12.5,39.000393,1.90411,100.000004,5207.26521,2670.40038,"orientation,0_sill,0_overhang,6_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,0,6,10,12.5,38.336491,2.098631,99.999996,5022.55074,2670.40045,"orientation,10_sill,0_overhang,6_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,3,6,10,12.5,32.917614,2.010958,99.999982,3720.276,2367.74153,"orientation,20_sill,0_overhang,6_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,3,6,10,12.5,32.607926,1.90411,100.000004,3675.26929,2367.71686,"orientation,0_sill,3_overhang,6_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,3,6,10,12.5,32.064248,2.098631,99.999996,3549.29752,2367.71691,"orientation,10_sill,3_overhang,6_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,0,8,10,12.5,36.035153,2.010958,99.999982,4313.6813,2660.41173,"orientation,20_sill,3_overhang,6_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,0,8,10,12.5,35.703128,1.665753,96.000003,4266.81406,2660.4163,"orientation,0_sill,0_overhang,8_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,0,8,10,12.5,35.073536,1.709589,97.999996,4121.00835,2660.41636,"orientation,10_sill,0_overhang,8_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,3,8,10,12.5,30.087083,1.545205,99.333316,2901.4959,2359.74946,"orientation,20_sill,0_overhang,8_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,3,8,10,12.5,29.791038,1.665753,90.000002,2867.30959,2359.85308,"orientation,0_sill,3_overhang,8_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,3,8,10,12.5,29.405085,1.709589,91.333331,2789.42967,2359.85314,"orientation,10_sill,3_overhang,8_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,0,10,10,12.5,33.260556,1.545205,94.666652,3493.27382,2652.96452,"orientation,20_sill,3_overhang,8_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,0,10,10,12.5,32.895666,1.287671,72.666667,3451.7438,2653.02937,"orientation,0_sill,0_overhang,10_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,0,10,10,12.5,32.438325,1.345206,79.999998,3361.19721,2653.02944,"orientation,10_sill,0_overhang,10_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
0,3,10,10,12.5,28.155694,1.09589,82.666654,2290.10208,2354.32624,"orientation,20_sill,0_overhang,10_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
10,3,10,10,12.5,27.865936,1.287671,62.666667,2285.61471,2354.39585,"orientation,0_sill,3_overhang,10_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,3,10,10,12.5,27.88489,1.345206,68,2284.07309,2354.39592,"orientation,10_sill,3_overhang,10_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
20,3,10,10,12.5,27.88489,1.09589,70.666658,2284.07309,2354.39592,"orientation,20_sill,3_overhang,10_roofAngle,10_ceilingHeight,12.5__CaptureView.png"
