in:Orientation (deg),in:Sill (ft),in:Overhang (ft),in:Roof Angle (deg),in:Ceiling (ft),out:EUI (kBTU/ft2),out:Hrs of Glare,out:Daylit Flr Area (%),out:peakCool(BTU/hr),out: Peak Heat (BTU/hr),img
10,0,0,5,10,45.923282,2.868494,83.33333,6694.36109,2332.52792,"orientation,10_sill,0_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,0,0,5,10,45.766766,3.016438,82.66665,6548.92803,2332.52798,"orientation,20_sill,0_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,3,0,5,10,38.523643,2.641096,98.000004,5161.50004,2024.88118,"orientation,0_sill,3_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,3,0,5,10,38.673355,2.879453,84.666664,5159.24529,2024.88117,"orientation,10_sill,3_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,3,0,5,10,38.472874,3.027397,82.66665,5057.08431,2024.88123,"orientation,20_sill,3_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,0,2,5,10,42.036933,2.30137,98.000004,5873.39134,2316.21769,"orientation,0_sill,0_overhang,2_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,0,2,5,10,42.045189,2.347946,91.33333,5835.27658,2315.95031,"orientation,10_sill,0_overhang,2_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,0,2,5,10,41.564881,2.454794,90.666649,5652.72479,2315.95037,"orientation,20_sill,0_overhang,2_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,3,2,5,10,35.085093,2.30137,100.000004,4319.16085,2009.18119,"orientation,0_sill,3_overhang,2_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,3,2,5,10,34.953318,2.347946,99.999996,4284.34926,2008.97543,"orientation,10_sill,3_overhang,2_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,3,2,5,10,34.496074,2.454794,99.999982,4147.41485,2008.97549,"orientation,20_sill,3_overhang,2_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,0,4,5,10,38.647454,1.824658,100.000004,5023.65768,2303.0175,"orientation,0_sill,0_overhang,4_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,0,4,5,10,38.45493,1.90137,99.999996,4973.40103,2302.83917,"orientation,10_sill,0_overhang,4_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,0,4,5,10,37.847639,1.956164,99.999982,4793.19539,2302.83923,"orientation,20_sill,0_overhang,4_roofAngle,5_ceilingHeight,10__CaptureView.png"
